injury_texts,num_categories,injury_categories
"Left Metatarsal Fractures, Left Ninth and Tenth Rib Fractures, Shooting Pain in Right Hand",4,Foot;Ribs;Hand;Gunshot
Herniated Discs to L4-5 and L5-S1,1,Spine
"Injuries to Neck and Shoulder in the Form of a Calcified Herniation at the C3-4 Level with Impingement on Spinal Cord, Back Pain Traveling Down Leg",4,Neck or Back;Shoulder;Spine;Leg
Fractured Legs,1,Leg
"Limited Mobility in Fingers and Knee, Bruised Left Hip and Head",4,"Finger;Joint;Head, Skull;Hip, Pelvis"
Stroke,1,Severe Disease
Pain in the Knee,1,Joint
Severe Facial Injury,1,Face
"Dog Bite (Arm), Cervical and Lumbrosacral Strain",4,Arm;Single Wound;Neck or Back;Spine
"Neck, Spine, and Dental Injuries, Temporomandibular Joint Dysfunction (Jaw and Neck Pain)",4,Spine;Neck or Back;Mouth or Teeth;Jaw
"Non-displaced Fracture of the Radial Head of Right Arm, Numbness and Tightness in Arm, Leg, and Fingers",5,"Hand;Head, Skull;Arm;Leg;Finger"
"Severe Nerve Damage in Arm and Shoulder, Neck and Shoulder Injuries",3,Arm;Shoulder;Neck or Back
Respiratory Insufficiency,1,Lung
Laceration and Bruising to Elbow and Knee,1,Joint
"Abrasions to Knees, Arms, Neck, and Face, Right Knee Slip and Fall Injury",4,Arm;Neck or Back;Joint;Falling
"Arm and Shoulder Injury, Severe Nerve Damage in Arm and Shoulder",2,Arm;Shoulder
Thirty Stitches in Elbow,1,Joint
Lumbar Disc Removal and Fusion Surgery,1,Spine
"Increasing Pain, Numbness, and Headaches Due to Neck Injury, Degenerative Arthritis of the Thumb",4,"Head, Skull;Neck or Back;Arthritis;Hand"
"Contusions to Hip, Foot and Toe, Dog Bite (Arm)",4,"Foot;Hip, Pelvis;Arm;Single Wound"
"Injuries to Left Eye, Nose, and Thumb, Extensive Lacerations Over Back of Left Hip",5,"Eye;Nose;Finger;Neck or Back;Hip, Pelvis"
Bruised Left Hip and Head,2,"Head, Skull;Hip, Pelvis"
"Bruised Lung, Kidney, and Liver, Fractures of Humerus, Wrist, and Ankle",6,Kidney;Lung;Liver;Joint;Arm;Wrist
"Soft Tissue Effacement of Left C-8 Nerve, Cervical Injury (Whip Lash)",4,Soft Tissue;Nerve System;Whiplash;Neck or Back
Disc Herniation,1,Spine
Muscle Spasm,1,Unspecified Muscle Injuries
"Pain in Chest, Shoulder, and Left Arm, Lacerations of the Eye and Face",5,Arm;Breast or Chest;Shoulder;Eye;Face
"Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin, Compensatory Left Sacroiliac Joint Dysfunction With Sciatic Nerve Radiculopathy",7,Burns;Hand;Stomach;Leg;Abdomen;Neck or Back;Nerve System
Lower Back Sprain with Nerve Irritation,1,Neck or Back
Sleep Problems,1,Sleeping Disorder
"Injury to Head and Knees, Torn Left Medial Meniscus and Mild Degenerative Joint Disease",3,"Joint;Head, Skull;Spine"
Cognitive Disorder,1,Cognitive Problem
"Peroneal Palsy/Nerve Damage Sustained During Surgery, Fusion of Femur Neck to Hip Joint",4,"Leg;Nerve System;Neck or Back;Hip, Pelvis"
Misadministration of Diagnostic Radiocactive Isotope,1,Medical Malpractice
Ruptured Cervical Disc,1,Spine
"Hand, Elbow, and Knee Injuries, Arm and Shoulder Injury",4,Hand;Joint;Arm;Shoulder
Occipital Headaches,1,"Head, Skull"
"Back Pain from Kidneys, Injuries to Left Arm and Shoulder",4,Kidney;Neck or Back;Arm;Shoulder
"Annular Tear at the L5-S1 level in Back, Soft Tissue Injury to Neck and Shoulders",4,Spine;Neck or Back;Shoulder;Soft Tissue
Upper Tooth Damage,1,Mouth or Teeth
"Fusion of Femur Neck to Hip Joint, Cervical and Lower Lumbar Pain",3,"Neck or Back;Hip, Pelvis;Spine"
"Injury to Head and Knees, Stomach and Back Injuries",4,"Joint;Head, Skull;Stomach;Neck or Back"
Soft Tissue Injury to the Shoulder,1,Shoulder
Pregnancy Complication,1,Medical Malpractice
"Disfigurement and Infertility, Bruises on Right Forearm and Shin",4,Skin;Sexual Dysfunction;Arm;Leg
Wrongful Death and Survival Actions (not distinguished),2,Death;Survival Action
Aggravation to a Pre-Existing Knee Injury,1,Joint
Soft-Tissue Injury to the Lumbar Spine,1,Spine
Aggravated Pre-Existing Neck Injury,1,Neck or Back
"Unspecified Injury to Chest and Back, Loss of Urinary, Bowel, and Sexual Function",5,Neck or Back;Breast or Chest;Ureter or Urethra;Intestine;Sexual Dysfunction
Intentional Infliction of Emotional Distress Arising from Malicious Prosecution,1,Emotional Distress from False Arrest
"Degenerative Changes and Disc Bulging at the L4-L5 and L5-S1 Levels in Back, Lumbosacral, Possible Nerve Root Compression and Paresthesias of the Upper Left Extremity",4,Spine;Neck or Back;Nerve System;Arm
Neck and Hand Sprain,2,Hand;Neck or Back
Cardiac Arrhythmia,1,Heart
Loss of 11 Teeth,1,Mouth or Teeth
"Burns to Back and Arm, Significant Pain in Left Arm, Shoulder and Hand",4,Arm;Neck or Back;Shoulder;Hand
Open Wound of Knee with Tendon Involvement,1,Joint
Injured Hip,1,"Hip, Pelvis"
"Back and Left Leg Pain, Loss of Almost All Usage of Right Arm, Hand, Leg",4,Leg;Neck or Back;Arm;Hand
Removal of Infected Medullary Nail,1,Leg
"Cervical and Lumbrosacral Strain, Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin",6,Neck or Back;Spine;Burns;Hand;Leg;Stomach
"Flare up of Pain in Neck and Testicles, Numbness in Right Arm, Hand and Leg",5,Neck or Back;Organs of Reproduction;Arm;Hand;Leg
Amputated Arm,1,Arm
Mandible Fracture,1,Jaw
"Lower Back and Chest Pains, Neck, Arm, and Hand Pain",5,Back;Breast or Chest;Arm;Hand;Neck or Back
Cervical Strain Syndrome,1,Neck or Back
"Injury to Forehead, Knees, and Clavicle, Knee, Neck, Back, and Hand Injuries",5,"Head, Skull;Joint;Clavicle;Hand;Neck or Back"
"Pain in Left Ear, Shoulder, and Ankle, Neck, Chest, and Wrist Pain",5,Joint;Ear;Breast or Chest;Neck or Back;Wrist
"Seat Belt Burns to Neck and Chest, Pain in Chest, Shoulder, and Left Arm",5,Burns;Neck or Back;Breast or Chest;Arm;Shoulder
"Neck, Chest, and Wrist Pain",3,Breast or Chest;Neck or Back;Wrist
Permanent Ulnar Nerve Damage,1,Arm
"Neck, Knee, and Back Injuries",2,Joint;Neck or Back
"Amputation of Two Fingers on Right Hand, Disfigurement and Infertility",4,Finger;Hand;Skin;Sexual Dysfunction
"Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip, Heart Complications-Survival Action",5,Arm;Shoulder;Lip;Heart;Survival Action
"Left Distal Tibia and Fibula Fractures, Head, Neck, Back, Leg, and Knee Injuries",4,"Leg;Joint;Neck or Back;Head, Skull"
"Bruised Lung, Kidney, and Liver, Neck, Spine, and Dental Injuries",6,Kidney;Lung;Liver;Spine;Neck or Back;Mouth or Teeth
"Cuts and Bruises to Neck, Back, Shoulders, and Arms, Limited Mobility in Fingers and Knee",5,Neck or Back;Shoulder;Arm;Finger;Joint
"Lunatrotriquetral Ligament Tear With Clinical Ulnar Nerve Entrapment at Guyon's Canal, Knee and Shoulder Pain",5,Nerve System;Hand;Wrist;Joint;Shoulder
Herniated Discs at the L4-L5 and L5-S1,1,Spine
"Cervical and Trapezius Muscle Sprain with Worsening of Preexisting Sprains, Strain/Sprain to Knee and Sternum",4,Neck or Back;Shoulder;Joint;Sternum
Fractured Collarbone,1,Clavicle
Hip Fracture,1,"Hip, Pelvis"
"Glass Embedded in Cheek and Eye, Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin",7,Eye;Face;Burns;Hand;Stomach;Leg;Abdomen
"Compensatory Left Sacroiliac Joint Dysfunction With Sciatic Nerve Radiculopathy, Soft Tissue Injury to Neck and Shoulders",4,Neck or Back;Nerve System;Shoulder;Soft Tissue
"Closed Head and Back Injury, Shoulder and Thoracic Strain",3,"Neck or Back;Head, Skull;Shoulder"
Age Discrimination,1,Emotional Distress From Age Discrimination
Ranioplasty,1,Severe Disease
Impact Injury to Ribs,1,Ribs
"Musculoligamentous Strains of the Neck and Shoulder, Survival Action and Wrongful Death",4,Shoulder;Neck or Back;Survival Action;Death
Lumbosacral Strain,1,Spine
Laceration and Hematoma on Arm,1,Arm
"Torn Cervical Muscle and Fibrosis, Soft Tissue Effacement of Left C-8 Nerve",4,Neck or Back;Fibrosis;Soft Tissue;Nerve System
Head Contusion,1,"Head, Skull"
"Peroneal Palsy/Nerve Damage Sustained During Surgery, Degenerative Changes and Disc Bulging at the L4-L5 and L5-S1 Levels in Back",4,Leg;Nerve System;Spine;Neck or Back
Gunshot Injury to Neck,2,Gunshot;Neck or Back
"Unidentified Lower Back and Shoulder Pain, Soft Tissue Injury to Trapezius Muscle",3,Shoulder;Neck or Back;Soft Tissue
Chronic Obstructive Pulmonary Disease,1,Lung
Aggravation of Pre-Existing Lumbar Injury,1,Neck or Back
Amyotrophic Lateral Sclerosis (ALS)-Survival Action,1,Severe Disease
Aggravation of Shoulder Injury,1,Shoulder
"Back Pain Traveling Down Leg, Bruised Left Hip and Head",4,"Leg;Neck or Back;Head, Skull;Hip, Pelvis"
Residual Pain,1,Unspecified
"Foot, Ankle, Back, and Shoulder Pain, Neck and Shoulder Scar Tissue",4,Foot;Joint;Neck or Back;Shoulder
Moderate Anxiety,1,General Emotional Problems
Right Arm and Shoulder Pain,2,Arm;Shoulder
"Injury to Knee and Wrist, Flare up of Pain in Neck and Testicles",4,Joint;Wrist;Neck or Back;Organs of Reproduction
"Degenerative Arthritis of the Thumb, Right Knee Slip and Fall Injury",4,Arthritis;Hand;Joint;Falling
"Aggravation of Temporal Mandibular Joint Dysfunction Causing Chronic Migraine Headaches, Neck and Shoulder Pain",4,"Jaw;Head, Skull;Shoulder;Neck or Back"
"Injury to Thumb, Knees, and Thigh, Third Degree Burns on Buttocks",5,"Joint;Wrist;Leg;Burns;Hip, Pelvis"
Mental Impairment,1,Mental Abuse
"Bruised Lung, Kidney, and Liver, Injuries to Neck, Back, and Arm",5,Kidney;Lung;Liver;Arm;Neck or Back
"Neck, Arm, and Hand Pain, Neck, Spine, and Dental Injuries",5,Arm;Hand;Neck or Back;Spine;Mouth or Teeth
Head Trauma,1,"Head, Skull"
Aggravation of Pre-Existing Defect in Disc,1,Spine
Cervical Fusion Surgery,1,Neck or Back
"Loss of Urinary, Bowel, and Sexual Function, Amputation of Right Lower Leg and Large Portion of Left Foot",5,Ureter or Urethra;Intestine;Sexual Dysfunction;Leg;Foot
"Neck and Hand Sprain, Leg and Ankle Numbness",4,Neck or Back;Hand;Joint;Leg
Left Elbow Sprain,1,Joint
"Knee and Shoulder Pain, Severe Injuries to Head and Face",4,"Joint;Shoulder;Face;Head, Skull"
"Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin, Chronic Radiculopathy Syndrome",7,Burns;Hand;Stomach;Leg;Abdomen;Neck or Back;Nerve System
Severe Sprains of the Cervical Spine,1,Spine
Cervical and Thoracic Strain,1,Neck or Back
"Leg and Ankle Numbness, Neck and Shoulder Scar Tissue",4,Joint;Leg;Shoulder;Neck or Back
Severe Genital Pain,1,Organs of Reproduction
Nerve Damage to Urinary System,1,Ureter or Urethra
"Right Subclavian Central Line and Trachostomy, Neckand Shoulder Pain",4,Clavicle;Trachea;Shoulder;Neck or Back
"Knee, Neck, Back, and Hand Injuries, Hand, Wrist, Shoulder and Back Injury, Including Carpel Tunnel Syndrome",5,Hand;Joint;Neck or Back;Wrist;Shoulder
"Face and Eye Contusions, Aggravation of Existing Neck Stiffness and Right Shoulder Pain",4,Eye;Face;Shoulder;Neck or Back
"Third Degree Burns on Buttocks, Back Pain from Kidneys",4,"Burns;Hip, Pelvis;Kidney;Neck or Back"
Post-Traumatic Seizure Disorder,1,Severe Disease
Pain in Left Side of Back,1,Neck or Back
"Injuries to Head, Back, and Neck, Soft Tissue Injury of Neck and Shoulder Area",4,"Neck or Back;Head, Skull;Soft Tissue;Shoulder"
Wired Jaw,1,Jaw
Right Elbow,1,Joint
Tension Headaches,1,"Head, Skull"
Severely Fractured Arm,1,Arm
Lumbar and Cervical Spine Injuries,1,Spine
"Lunatrotriquetral Ligament Tear With Clinical Ulnar Nerve Entrapment at Guyon's Canal, Neck and Shoulder Pain",5,Nerve System;Hand;Wrist;Shoulder;Neck or Back
Cervical Myofacial Pain Syndrome,1,Myofascial Pain Syndrome
"Lunatrotriquetral Ligament Tear With Clinical Ulnar Nerve Entrapment at Guyon's Canal, Disfigurement of Knee and Leg",5,Nerve System;Hand;Wrist;Joint;Leg
"Broken Small Finger, Thumb, and Nose, Neck and Shoulder Injury",4,Finger;Nose;Shoulder;Neck or Back
"Anterior Contusions of the Knee and Legs, Permanent Impairment of Fine Motor Skills, Left Hand",4,Joint;Leg;Eye;Hand
"Seat Belt Burns to Neck and Chest, Symptomatic Left Knee Lumbar Syndrome",5,Burns;Neck or Back;Breast or Chest;Joint;Spine
Cervical Disk Syndrome,1,Neck or Back
"Injuries to Neck and Shoulder in the Form of a Calcified Herniation at the C3-4 Level with Impingement on Spinal Cord, Partial Paralysis of Upper Lip",5,Neck or Back;Shoulder;Spine;Paralysis;Mouth or Teeth
Sciatic Nerve Damage,1,Spine
Numbness in Upper Left Extremity,1,Arm
Chipped Teeth,1,Mouth or Teeth
Broken Hand,1,Hand
"Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip, Injuries to Hands and Fingers",5,Shoulder;Mouth or Teeth;Arm;Finger;Hand
Knot on Forehead,1,"Head, Skull"
"Lunatrotriquetral Ligament Tear With Clinical Ulnar Nerve Entrapment at Guyon's Canal, Tenderness Between Ribs and Lower Spine",5,Nerve System;Hand;Wrist;Ribs;Spine
Aggravation of Temporomandibular Joint Syndrome,1,Jaw
"Lunatrotriquetral Ligament Tear With Clinical Ulnar Nerve Entrapment at Guyon's Canal, Weakness and Loss of Reflex in the Ankle and Foot",5,Nerve System;Hand;Wrist;Joint;Foot
Open Fracture Left Tibia and Fibula,1,Leg
Shoulder Pain,1,Shoulder
Chondromalacia,1,Joint
"Permanent Scarring on Face, Abdomen, Leg, Thigh, Buttocks and Back, Injuries to Calf, Knee, and Elbow",6,"Face;Abdomen;Leg;Neck or Back;Hip, Pelvis;Joint"
"Broken Teeth and Exposed Nerves, Lumbar Strain With Nerve Root Irritation",3,Mouth or Teeth;Nerve System;Neck or Back
Knee Injuries,1,Joint
Disk Narrowing,1,Spine
"Soft Tissue Injuries of the Neck and Chest, Injury to Head and Knees",4,"Neck or Back;Breast or Chest;Joint;Head, Skull"
"Neck, Back, and Finger Sprains, Loss of Almost All Usage of Right Arm, Hand, and Leg",5,Neck or Back;Finger;Arm;Hand;Leg
Bilateral Occipital Neuralgia,1,Spine
"Leg and Ankle Numbness, Neck and Head Injuries",4,"Joint;Leg;Neck or Back;Head, Skull"
Head Hematoma,1,"Head, Skull"
Fracture of the Upper Right Arm with Displacement,1,Arm
"Broken Nose and Cheekbone, Soft Tissue Effacement of Left C-8 Nerve",4,Nose;Face;Soft Tissue;Nerve System
"Injuries to Neck, Back, and Arm, Fractures of Humerus, Wrist, and Ankle",4,Arm;Neck or Back;Joint;Wrist
"Aggravation of Existing Neck Stiffness and Right Shoulder Pain, Lost Tips of Fingers, Nose, and Part of Nostrils",4,Shoulder;Neck or Back;Finger;Nose
Torn Medial Meniscus,1,Joint
Right Shoulder Pain,1,Shoulder
"Broken Nose and Cheekbone, Leg and Ankle Numbness",4,Nose;Face;Joint;Leg
Relocation of Dislocated Right Shoulder,1,Shoulder
False Imprisonment,1,Legal Malpractice
Cervical Pain,1,Neck or Back
"Seat Belt Burns to Neck and Chest, Permanent Disfigurement and Disability",5,Burns;Neck or Back;Breast or Chest;Disability;Skin
Back Pain from Kidneys,2,Kidney;Neck or Back
Non-Displaced Fracture of the Distal Phalanx,1,Finger
Facial Swelling and Pain,1,Face
"Right Knee Slip and Fall Injury, Stomach and Back Injuries",4,Joint;Falling;Stomach;Neck or Back
"Back Pain Radiating Down Right Leg, Neck and Shoulder Stiffness",3,Leg;Neck or Back;Shoulder
Whiplash-Type Injury,1,Whiplash
Laceration and Hairline Fracture to Index Finger,1,Finger
"Kyphosis Which Causes Cervical Curving, Chronic Radiculopathy Syndrome",3,Spine;Neck or Back;Nerve System
"Gunshot Injury to Neck, Knee, Neck and Back Injuries",3,Gunshot;Neck or Back;Joint
Bystander Damages,1,Emotional Distress for Bystander
Bilateral Vestibular Dysfunction,1,"Head, Skull"
"Aggravation of Pre-Existing Knee and Wrist Injury, Pain in Left Ear, Shoulder, and Ankle",3,Joint;Wrist;Ear
Acute Cervical and Lumbar Strain,1,Neck or Back
Closed Fracture Mid Shaft Right Femur,1,Leg
"Fusion of Femur Neck to Hip Joint, Cut Hand and Subsequent Infection",4,"Neck or Back;Hip, Pelvis;Hand;Infection"
Bulging Lumbar Discs,1,Neck or Back
"Knee, Neck and Back Injuries, Knee and Shoulder Pain",3,Joint;Neck or Back;Shoulder
"Sharp Pain and Stiffness in Neck Resulting from Low-Impact Vehicle Collision, Unidentified Lower Back and Shoulder Pain",3,Neck or Back;Automobile Accident;Shoulder
"Muscle and Ligament Strain, Chronic and Irremediable Pain in the Lower Back, Hip, Thigh and Leg",5,"Unspecified Muscle Injuries;Joint;Neck or Back;Hip, Pelvis;Leg"
"Numbness in Right Arm, Hand and Leg, Aggravation of Existing Neck Stiffness and Right Shoulder Pain",5,Arm;Hand;Leg;Shoulder;Neck or Back
Impaired Vision,1,Eye
Non-Functioning Left Lung,1,Lung
"Closed Head and Back Injury, Injuries to Ankle, Knee, and Lower Back",3,"Neck or Back;Head, Skull;Joint"
"Fractures of Humerus, Wrist, and Ankle, Heart Complications-Survival Action",5,Joint;Arm;Wrist;Heart;Survival Action
Spinal Strain,1,Spine
"Severe Pain in Neck, Back, and Shoulders, Cervical and Shoulder Sprains",2,Shoulder;Neck or Back
"Significant Pain in Left Arm, Shoulder and Hand, Shallower Lacerations up Back and Left Arm Pit",4,Arm;Shoulder;Hand;Neck or Back
Unspecified Injuries Resulting From Automobile Accident,1,Automobile Accident
Severe Depression,1,Depression
"Strain/Sprain to Knee and Sternum, Numbness and Pain in Right Arm and Lower Extremities",4,Joint;Sternum;Arm;Leg
Ankle and Knee Injuries,1,Joint
Electrocution Injury,1,Electrocution
Fractures and TMJ,1,Jaw
Facial Abrasions,1,Face
Severely Fractured Wrist,1,Wrist
"Wrist and Hand Injuries, Severe Allergic Reaction Causing Vomiting, Insomnia, and a Rash that Itched and Developed into Whelps",6,Hand;Wrist;Allergy;Vertigo or Nausea;Sleeping Disorder;Common Disease
"Burns to Back and Arm, Pain in Left Ear, Shoulder, and Ankle",4,Arm;Neck or Back;Joint;Ear
Recurrent Pulmonary Infections,1,Lung
"Injury to Thumb, Knees, and Thigh",3,Joint;Finger;Leg
"Aggravation of Existing Neck Stiffness and Right Shoulder Pain, Paralysis of Left Arm and Leg",4,Shoulder;Neck or Back;Arm;Leg
"Severe Allergic Reaction Causing Vomiting, Insomnia, and a Rash that Itched and Developed into Whelps, Neck, Back, and Finger Sprains",6,Allergy;Vertigo or Nausea;Sleeping Disorder;Common Disease;Neck or Back;Finger
"Burns to Hand and Feet, Lost Tips of Fingers, Nose, and Part of Nostrils",4,Hand;Foot;Finger;Nose
Quadriplegia,1,Paralysis
"Psychological Problems including Depression, Grade II Whiplash with Motor and Sensory Loss",4,General Emotional Problems;Depression;Whiplash;Nerve System
Possible Fractured Vertebra,1,Spine
Left Lumbar Pain,1,Neck or Back
"Injury to Right Knee and Back, Face and Eye Contusions",4,Joint;Neck or Back;Eye;Face
"Broken Teeth and Exposed Nerves, Bruised Left Hip and Head",4,"Mouth or Teeth;Nerve System;Head, Skull;Hip, Pelvis"
Strained Neck And Back Muscles,1,Neck or Back
Associated Radiculitis,1,Nerve System
"Aggravation of Pre-Existing Knee and Wrist Injury, Dog Bite Injuries to Arm and Back",5,Joint;Wrist;Arm;Neck or Back;Multiple Wounds
"Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin, Strain/Sprain to Knee and Sternum",7,Burns;Hand;Stomach;Leg;Abdomen;Joint;Sternum
"Grade II Whiplash with Motor and Sensory Loss, Disfigurement and Infertility",4,Whiplash;Nerve System;Skin;Sexual Dysfunction
"Cervical Injury (Whip Lash), Pyorrhea (Gum Disease)",4,Whiplash;Neck or Back;Mouth or Teeth;Jaw
Neck and Head Injuries,2,"Neck or Back;Head, Skull"
Amputation of Right Lower Leg and Large Portion of Left Foot,2,Leg;Foot
"Electrical Burns on Left Hand, Head, Neck, Sternum, Jaw and Rib Pain",6,"Hand;Burns;Jaw;Head, Skull;Neck or Back;Ribs"
"Hand, Elbow, and Knee Injuries",2,Hand;Joint
Pain in the Lower Back,1,Neck or Back
"Cervical and Lumbrosacral Strain, Shoulder and Thoracic Strain",3,Neck or Back;Spine;Shoulder
Earaches,1,Ear
"Abrasions to Knees, Arms, Neck, and Face, Soft Tissue Injury to Trapezius Muscle",5,Arm;Neck or Back;Joint;Soft Tissue;Shoulder
Severe Facial Injuries,1,Face
Bursitis on the Top of the Shoulder,1,Shoulder
Aggravation of Pre-existing Cervical and Lumbar Injuries,1,Neck or Back
Post-Operative Infection,1,Infection
"Pain in Leg and Buttocks, Neck, Spine, and Dental Injuries",5,"Leg;Hip, Pelvis;Spine;Neck or Back;Mouth or Teeth"
Broken Wrist Requiring Surgery,1,Wrist
"Injury to Knee and Wrist, Soft Tissue Injury to Trapezius Muscle",4,Joint;Wrist;Soft Tissue;Shoulder
"Head, Neck, Sternum, Jaw and Rib Pain, Burn to Left Eye",6,"Jaw;Head, Skull;Neck or Back;Ribs;Eye;Burns"
Substantial Injury by Electrocution,1,Electrocution
Thoracic and Lumbar Strain Syndrome,1,Neck or Back
Back Pain,1,Neck or Back
Right Side Spasticity,1,Unspecified Muscle Injuries
Abrasions on Thigh,1,Leg
Wrongful Death and Survival Actions (not distinguished),2,Survival Action;Death
Partial Paralysis,1,Paralysis
L5-S1 Nerve Damage,1,Nerve System
Lumbosacral Sprain,1,Neck or Back
Sprained Right Knee,1,Joint
Thoracic Injuries,1,Neck or Back
Multiple Abrasions,1,Skin
"Degenerative Arthritis of the Thumb, Partial Paralysis of Upper Lip",4,Arthritis;Hand;Paralysis;Mouth or Teeth
Post-Traumatic Stress Syndrome,1,Post Traumatic Stress Syndrome
"Thoracic, Lumbar, and Sacral Disc Herniations",1,Spine
Muscle Spasm in Neck,1,Neck or Back
"Unidentified Lower Back and Shoulder Pain, Pain in Lower Back and Left Shoulder",2,Shoulder;Neck or Back
Laceration of Left Eyelid,1,Eye
Soft-Tissue Neck Injury,1,Neck or Back
Multiple Facial Lacerations,1,Face
"Burns on 42% of Total Body, including Face, Neck, Chest, Abdomen, Back, Arms, and Hand",7,Burns;Face;Neck or Back;Breast or Chest;Abdomen;Arm;Hand
Head Wound,1,"Head, Skull"
Cervical and Upper Thoracic Strain,1,Neck or Back
"Cervical and Shoulder Sprains, Right Knee Slip and Fall Injury",4,Shoulder;Neck or Back;Joint;Falling
Cervical Strain/Sprain,1,Neck or Back
"Gunshot Wound to the Heel, Increasing Pain, Numbness, and Headaches Due to Neck Injury",4,"Gunshot;Foot;Head, Skull;Neck or Back"
"Injury to Forehead, Knees, and Clavicle, Injuries to Head, Back, and Neck",4,"Head, Skull;Joint;Clavicle;Neck or Back"
"Rib Fracture Leading to Pneumonia, Cervical and Lumbrosacral Strain",4,Ribs;Lung;Neck or Back;Spine
"Back, Neck, and Hand Injuries, Neckand Shoulder Pain",3,Hand;Neck or Back;Shoulder
"Cervical and Lumbrosacral Strain, Third Degree Burns on Buttocks",4,"Neck or Back;Spine;Burns;Hip, Pelvis"
"Neck and Hand Sprain, Broken Nose and Cheekbone",4,Neck or Back;Hand;Nose;Face
"Injuries to Ankle, Knee, and Lower Back, Cervical Myofascial Pain on the Right Side",3,Joint;Neck or Back;Myofascial Pain Syndrome
"Chronic and Irremediable Pain in the Lower Back, Hip, Thigh and Leg, Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip",6,"Neck or Back;Hip, Pelvis;Leg;Shoulder;Mouth or Teeth;Arm"
"Depression and Sleeping Disorder from Persistent Pain, Cervical and Shoulder Sprains",4,Sleeping Disorder;Depression ;Shoulder;Neck or Back
"Bruises on Face and Knee, Injuries to Back and Buttocks",4,"Face;Joint;Neck or Back;Hip, Pelvis"
Multiple Abdominal Wall Hernias,1,Abdomen
Severed Spinal Cord,1,Spine
Judgment and Memory,1,Cognitive Problem
"Peroneal Palsy/Nerve Damage Sustained During Surgery, Aggravation of Pre-Existing Neck Arthritis",4,Leg;Nerve System;Arthritis;Neck or Back
"Torn Cervical Muscle and Fibrosis, Arm and Shoulder Pain",4,Neck or Back;Fibrosis;Arm;Shoulder
"Closed-Head Injury with Permanent Cognitive Dysfunction, Cervical and Shoulder Sprains",4,"Head, Skull;Cognitive Problem;Shoulder;Neck or Back"
"Severe Allergic Reaction Causing Vomiting, Insomnia, and a Rash that Itched and Developed into Whelps, Bruised Lung, Kidney, and Liver",7,Allergy;Vertigo or Nausea;Sleeping Disorder;Common Disease;Kidney;Lung;Liver
Cuts and Scarring to the Forehead,1,"Head, Skull"
"Increasing Pain, Numbness, and Headaches Due to Neck Injury, Burns to Torso and Leg",5,"Head, Skull;Neck or Back;Leg;Breast or Chest;Abdomen"
